Nome,Pasta,Description,Assignee,Start Date,Due Date,Priority,Status,SKU,Bid,Scope,Type,Height,Width,Depth,Incoming,Outcoming
rs1319,rs1319,Stainless Steel,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,LTR,19,16,16,,
sh10919,rs1319,Matte Black,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,28,20.25,20.25,,md7146
sh10924,rs1319,Galvanized Finish,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,31.5,26,26,,md7146
sh10936,rs1319,Antique Bronze,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,36,30,30,,md7151
sh11008,rs1319,Antique Bronze,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,22,24,24,,md7151
sh11009,rs1319,Antique Bronze,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,22,24,24,,md7163
sh11016,rs1319,Antique Bronze,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,22.75,26,26,,md7163
sh11018,rs1319,Antique Pewter,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,16.5,35.5,16.5,,md7235
sh11024,rs1319,Antique Pewter,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,12.75,14.75,14.75,,md7235
sh11195,rs1319,Antique Pewter,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,12.75,14.75,14.75,,md7236
sh11200,rs1319,Antique Pewter,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,19.5,14.75,14.75,,md7236
sh11212,rs1319,Textured Black,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,19.5,14.75,14.75,,md7243
sh11284,rs1319,Textured Black,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,21.5,25,25,,md7243
sh11285,rs1319,Textured Black,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,21.5,32,13.75,,md7245
sh11292,rs1319,Textured Black,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,15.75,22,22,,md7245
sh11294,rs1319,Textured Black,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,15.75,22,22,,md7251
sh11300,rs1319,Textured Black,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,11,6.75,6.75,,md7251
rs1320,rs1320,Textured Black,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,LTR,11.75,12.75,12,,
sh10886,rs1320,Textured Black,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,12.75,12.75,12,,md7113
sh10887,rs1320,Textured Black,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,12.75,38,11.75,,md7113
sh10888,rs1320,Textured Black,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,29,24.25,24.25,,md7114
sh10889,rs1320,Matte Black,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,29,24.25,24.25,,md7114
sh10890,rs1320,Matte Black,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,29,30,30,,md7115
sh10922,rs1320,Matte Black,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,29,30,30,,md7115
sh10923,rs1320,Stainless Steel,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,12,6.5,6.5,,md7116
sh10933,rs1320,Stainless Steel,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,8.5,13,13,,md7116
sh11002,rs1320,Stainless Steel,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,17,35.75,6.5,,md7117
sh11162,rs1320,Antique Bronze,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,17.25,24.5,24.5,,md7117
sh11163,rs1320,Stainless Steel,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,8,14,14,,md7149
sh11164,rs1320,Antique Bronze,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,8,14,14,,md7149
sh11165,rs1320,Antique Bronze,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,20.5,28,28,,md7150
sh11166,rs1320,Antique Bronze,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,20.5,28,28,,md7150
sh11198,rs1320,Matte Black,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,14.75,12,12,,md7160
sh11199,rs1320,Matte Black,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,17.75,25.5,25.5,,md7160
sh11209,rs1320,Matte Black,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,25.5,24,24,,md7229
sh11278,rs1320,Matte Black,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,25.5,24,24,,md7229
rs1321,rs1321,Antique Bronze,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,LTR,28.75,28,28,,
sh10855,rs1321,Antique Bronze,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,28.75,28,28,,md7082
sh10857,rs1321,Textured Black,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,28.75,28,28,,md7082
sh10859,rs1321,Textured Black,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,10.5,12,12,,md7084
sh10904,rs1321,Antique Bronze,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,18.25,36,10,,md7084
sh10909,rs1321,Antique Bronze,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,24.25,25,25,,md7086
sh10914,rs1321,Antique Bronze,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,29.75,37.5,17.25,,md7086
sh10973,rs1321,Antique Bronze,jonathan@ilustraviz.com,5/8/2022,10/8/2022,P2,not started,,,Quoizel,Cycling,15.25,16,16,,md7131
